filetype	tag	column	name	qtype	datatype	nulls	note
Orders	ClosingAuctionQuantity	closing_auction_quantity	closing_auction_quantity	j	number(38,0)	1	
Orders	RelLimit	rel_limit	rel_limit	f	number(28,14)	1	
Orders	RelLimitType	rel_limit_type	rel_limit_type	s	varchar(50)	1	Arrival, PNC for less than .001%, else not supplied
Orders	RelLimitIndex	rel_limit_index	rel_limit_index	s	varchar(50)	1	MXUS, PCEF US, PSEF US for less than .001%, else not supplied
Orders	EndTimeByRate	end_time_by_rate	end_time_by_rate	f	number(28,14)	1	
Orders	ScaledTargetRate	scaled_target_rate	scaled_target_rate	f	number(28,14)	1	
Orders	CustomInstr	custom_instr	custom_instr	s	varchar(100)	1	
Orders	ScheduleTilt	schedule_tilt	schedule_tilt	s	varchar(50)	1	Backload, Frontload, Normal, Strict for a handful of cases, else blank
Orders	PreMarket	pre_market	pre_market	s	boolean	1	True/False
Orders	Rule10b18	rule_10b18	rule_10b18	s	boolean	1	True/False
Orders	DynamicPullback	dynamic_pull_back	dynamic_pull_back	*	varchar(50)	1	(no values supplied)
Orders	NoSDP	no_sdp	no_sdp	s	boolean	1	True/False
Orders	NoPrincipal	no_principal	no_principal	s	boolean	1	True/False
Orders	NoTCross	no_tcross	no_tcross	s	boolean	1	True/False
Orders	NoExchanges	no_exchanges	no_exchanges	s	boolean	1	True/False
Orders	VenueBlacklist	venue_black_list	venue_black_list	*	varchar(400)	1	no values
Orders	ShowHT	show_ht	show_ht	s	boolean	1	True/False
Orders	InstrHT	instr_ht	instr_ht	s	varchar(100)	1	10000, FFS, HTINST, TEST, TEST1
Orders	AlgoInfoAB	algo_info_ab	algo_info_ab	*	varchar(400)	1	no values
Orders	MustComplete	must_complete	must_complete	s	boolean	1	True/False
Orders	AlgoStyle	algo_style	algo_style	s	varchar(50)	1	
Orders	AlgoInfoRouteType	algo_info_route_type	algo_info_route_type	s	varchar(100)	1	
Orders	PriceTriggerCommitPercent			*		1	(no longer in use)
Orders	PriceTriggerRouteType			*		1	(no longer in use)
